id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw,actual_points
639,Andrés,3,0.0,5.5,0.0,5,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,4
652,Azeez,3,0.0,5.5,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
28,Martinez,1,1.7,5.0,2.5,6,a,100.0,4.9,11.9,99.4,20.0,0.0,0.0,0.01,0.01,180,44,3,2.0,1,4,2
40,Rogers,3,6.3,7.6,6.3,6,a,100.0,28.6,28.7,105.8,113.6,68.0,1.18,1.14,2.32,257,87,6,2.0,1,4,8
101,Henderson,3,0.0,4.9,0.0,6,d,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
136,Welbeck,4,0.3,5.9,1.0,6,a,100.0,0.8,0.2,0.0,0.3,2.0,0.0,0.0,0.0,3,3,1,2.0,1,4,1
140,Sánchez,1,0.7,4.9,2.0,6,u,0.0,1.0,2.1,21.4,0.0,0.0,0.0,0.01,0.01,90,6,0,2.0,1,4,0
141,Jörgensen,1,0.0,5.0,0.0,6,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
142,James,2,0.7,5.4,0.7,6,a,100.0,7.8,10.3,36.4,32.2,34.0,0.17,0.12,0.29,202,13,1,2.0,1,4,1
143,Chalobah,2,0.0,5.5,0.0,6,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
144,Gusto,2,1.0,5.0,1.0,6,a,100.0,1.1,3.9,18.0,13.9,7.0,0.04,0.05,0.09,195,5,1,2.0,1,4,1
145,Fofana,2,1.0,5.0,1.5,6,a,100.0,0.1,8.3,59.2,23.7,0.0,0.0,0.05,0.05,157,14,3,2.0,1,4,1
146,B.Badiashile,2,0.0,4.5,0.0,6,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
148,Hato,2,2.7,4.5,2.7,6,a,100.0,0.8,13.1,73.2,44.2,13.0,0.01,0.11,0.12,213,22,3,2.0,1,4,0
149,Colwill,2,0.3,4.9,0.5,6,a,100.0,1.1,2.9,19.2,2.0,7.0,0.01,0.03,0.04,161,8,0,2.0,1,4,1
150,M.Sarr,2,0.0,4.5,0.0,6,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
151,Acheampong,2,1.7,4.5,1.7,6,a,100.0,0.4,5.1,41.6,4.1,6.0,0.0,0.02,0.02,202,9,1,2.0,1,4,0
152,Palestra,2,0.0,5.4,0.0,6,d,75.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
154,Palmer,3,7.0,9.6,7.0,6,a,100.0,22.3,30.8,113.0,82.4,112.0,1.05,0.36,1.41,262,99,1,2.0,1,4,5
