id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw
107,Furo,4,0.0,4.5,0.0,4,i,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
108,Wilson,4,0.8,5.5,1.0,4,a,100.0,0.3,2.6,3.2,10.4,12.0,0.07,0.04,0.11,13,9,0,4.0,1,5
565,M.Sangaré,3,5.5,5.7,5.5,4,a,100.0,11.4,16.9,74.2,57.8,40.0,0.41,0.65,1.06,300,76,4,4.0,1,5
620,Diouf,2,0.3,4.5,1.0,4,a,100.0,0.1,0.4,3.4,1.0,0.0,0.0,0.01,0.01,30,4,1,4.0,1,5
657,Nunes,3,0.0,4.5,0.0,4,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
109,Verbruggen,1,4.2,4.5,4.2,5,a,100.0,21.5,9.7,93.8,3.0,0.0,0.0,0.2,0.2,360,80,8,4.0,1,5
111,Steele,1,0.0,4.0,0.0,5,a,100.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
113,F.Kadıoğlu,2,2.0,4.4,2.7,5,a,100.0,1.6,9.4,21.8,44.6,27.0,0.08,0.11,0.19,257,28,6,4.0,1,5
114,Boscagli,2,3.2,4.5,3.2,5,a,100.0,0.3,19.4,64.2,110.5,19.0,0.06,0.51,0.57,347,69,6,4.0,1,5
115,De Cuyper,2,8.0,4.9,8.0,5,a,100.0,24.3,28.6,93.8,138.0,53.0,1.53,0.44,1.97,333,102,11,4.0,1,5
116,Dunk,2,5.5,4.5,5.5,5,a,100.0,1.5,14.3,116.2,14.6,11.0,0.03,0.09,0.12,360,79,12,4.0,1,5
117,Coppola,2,0.0,4.5,0.0,5,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
118,Igor,2,0.0,4.5,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
119,Costinha,2,0.8,4.5,0.8,5,a,100.0,0.0,5.0,15.2,17.0,18.0,0.12,0.16,0.28,54,16,1,4.0,1,5
120,Svoboda,2,0.0,5.0,0.0,5,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
121,Mitoma,3,0.0,5.9,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
122,Minteh,3,0.0,5.9,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
123,Hinshelwood,3,4.0,5.9,16.0,5,i,0.0,0.6,14.5,72.8,13.4,59.0,1.41,0.02,1.43,63,54,0,4.0,1,5
124,Groß,3,8.2,5.7,8.2,5,a,100.0,20.3,40.3,152.6,185.7,68.0,1.66,0.61,2.27,360,119,17,4.0,1,5
125,Georginio,4,1.2,5.4,5.0,5,a,100.0,0.5,4.6,19.8,11.4,15.0,0.08,0.44,0.52,90,22,0,4.0,1,5
126,O'Riley,3,0.2,5.4,1.0,5,a,100.0,0.1,1.3,2.2,10.5,0.0,0.0,0.01,0.01,6,4,1,4.0,1,5
127,Gomez,3,4.0,5.0,4.0,5,a,100.0,4.3,25.8,55.2,80.8,122.0,0.79,0.76,1.55,348,61,3,4.0,1,5
128,Buonanotte,3,0.0,5.0,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
129,Ayari,3,3.0,5.4,4.0,5,a,100.0,0.4,13.4,50.4,36.6,51.0,0.59,0.1,0.69,243,64,8,4.0,1,5
130,Wieffer,2,1.8,4.9,3.5,5,i,0.0,0.2,8.3,37.0,35.5,10.0,0.12,0.13,0.25,156,38,0,4.0,1,5
132,Howell,3,0.0,4.5,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
133,Watson,3,0.0,5.0,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
134,Oriola,3,0.0,4.5,0.0,5,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
135,Yohanna,3,0.2,4.9,1.0,5,i,0.0,0.0,0.2,0.2,1.3,0.0,0.0,0.03,0.03,12,3,0,4.0,1,5
137,Tzimas,4,0.0,5.4,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
138,Kostoulas,4,4.5,5.5,4.5,5,a,100.0,0.9,16.3,47.6,27.8,89.0,1.17,0.05,1.22,278,65,10,4.0,1,5
139,Ferguson,4,0.0,5.0,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
328,Struijk,2,0.5,4.9,1.0,5,a,100.0,0.2,1.2,11.4,0.9,0.0,0.0,0.01,0.01,13,7,1,4.0,1,5
504,Vuskovic,2,6.0,5.0,6.0,5,a,100.0,3.1,19.4,107.6,16.4,70.0,0.46,0.07,0.53,347,71,6,4.0,1,5
594,David,4,0.2,6.0,0.5,5,a,100.0,0.2,0.4,0.0,3.7,4.0,0.42,0.0,0.42,23,-4,0,4.0,1,5
600,Osman,3,0.8,5.0,1.0,5,a,100.0,0.0,4.2,7.2,17.8,19.0,0.05,0.07,0.12,40,15,1,4.0,1,5
605,Yalcouyé,3,4.8,4.5,4.8,5,a,100.0,4.0,27.2,107.0,60.0,105.0,1.42,0.27,1.69,231,87,8,4.0,1,5
614,Hadjam,2,0.0,4.5,0.0,5,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
624,Cozier-Duberry,3,0.0,5.0,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
639,Andrés,3,2.0,5.5,4.0,5,a,100.0,0.0,3.4,18.8,13.1,2.0,0.24,0.01,0.25,25,10,4,4.0,1,5
652,Azeez,3,0.0,5.5,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
658,Ibrahim,3,0.0,4.5,0.0,5,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
28,Martinez,1,1.8,5.0,2.3,6,a,100.0,4.9,13.9,119.0,20.0,0.0,0.0,0.01,0.01,270,54,2,3.0,1,5
40,Rogers,3,6.8,7.7,6.8,6,a,100.0,39.2,37.8,149.0,119.5,110.0,1.39,1.16,2.55,347,118,8,3.0,1,5
101,Henderson,3,0.0,4.9,0.0,6,d,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
136,Welbeck,4,0.5,5.9,1.0,6,a,100.0,0.9,2.4,7.2,10.9,6.0,0.0,0.06,0.06,15,7,1,3.0,1,5
140,Sánchez,1,0.5,4.9,2.0,6,u,0.0,0.8,2.1,21.4,0.0,0.0,0.0,0.01,0.01,90,6,0,3.0,1,5
141,Jörgensen,1,0.0,5.0,0.0,6,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
142,James,2,0.8,5.4,0.8,6,d,75.0,7.0,14.8,56.2,42.6,49.0,0.33,0.26,0.59,292,24,1,3.0,1,5
143,Chalobah,2,0.0,5.5,0.0,6,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
144,Gusto,2,1.0,5.0,1.0,6,a,100.0,1.0,8.2,32.0,37.2,13.0,0.08,0.12,0.2,272,12,1,3.0,1,5
145,Fofana,2,1.0,5.0,1.3,6,a,100.0,0.2,11.0,77.6,28.4,4.0,0.0,0.08,0.08,242,24,1,3.0,1,5
146,B.Badiashile,2,0.0,4.5,0.0,6,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
148,Hato,2,2.0,4.5,2.0,6,a,100.0,0.9,14.0,77.0,47.1,15.0,0.01,0.21,0.22,258,14,0,3.0,1,5
149,Colwill,2,0.5,4.9,0.7,6,a,100.0,0.9,7.2,46.0,14.2,11.0,0.01,0.04,0.05,251,16,1,3.0,1,5
150,M.Sarr,2,0.0,4.5,0.0,6,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
151,Acheampong,2,1.2,4.5,1.7,6,a,100.0,0.4,5.1,41.6,4.1,6.0,0.0,0.02,0.02,202,9,0,3.0,1,5
152,Palestra,2,0.0,5.3,0.0,6,d,50.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
154,Palmer,3,6.5,9.7,6.5,6,a,100.0,26.8,37.6,131.6,120.0,124.0,1.18,0.61,1.79,352,127,5,3.0,1,5
156,Neto,3,3.0,6.5,3.0,6,a,100.0,1.4,24.0,72.4,84.8,83.0,0.52,0.53,1.05,246,68,2,3.0,1,5
157,Estêvão,3,0.8,6.3,1.0,6,a,100.0,0.7,4.9,8.4,1.3,38.0,0.07,0.07,0.14,20,14,1,3.0,1,5
158,Gittens,3,0.0,5.9,0.0,6,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,5
